Type,Entry Time,Exit Time,Profit/Loss,Entry,Exit,Result,Equity
Sell,2024-10-22 11:00:00,2024-10-22 12:00:00,199.96999999998863,196.118,195.918,Win,13199.849999999822
Sell,2024-10-23 05:00:00,2024-10-23 06:00:00,-99.96999999999431,197.092,197.192,Loss,13099.879999999828
Sell,2024-10-23 06:00:00,2024-10-23 07:00:00,-99.96999999999431,197.051,197.15099999999998,Loss,12999.909999999834
Sell,2024-10-23 07:00:00,2024-10-23 08:00:00,-99.96999999999431,197.517,197.617,Loss,12899.93999999984
Sell,2024-10-23 08:00:00,2024-10-23 09:00:00,199.96999999998863,197.737,197.537,Win,13099.909999999829
Sell,2024-10-23 09:00:00,2024-10-23 10:00:00,-99.96999999999431,197.517,197.617,Loss,12999.939999999835
Sell,2024-10-23 10:00:00,2024-10-23 11:00:00,-99.96999999999431,197.534,197.634,Loss,12899.969999999841
Sell,2024-10-23 11:00:00,2024-10-23 12:00:00,-99.96999999999431,197.897,197.99699999999999,Loss,12799.999999999847
Sell,2024-10-23 12:00:00,2024-10-23 13:00:00,-99.96999999999431,198.184,198.284,Loss,12700.029999999853
Sell,2024-10-23 13:00:00,2024-10-23 15:00:00,199.96999999998863,198.292,198.092,Win,12899.999999999842
Sell,2024-10-23 15:00:00,2024-10-23 16:00:00,199.96999999998863,198.263,198.06300000000002,Win,13099.96999999983
Sell,2024-10-23 16:00:00,2024-10-23 17:00:00,199.96999999998863,198.243,198.043,Win,13299.939999999819
Sell,2024-10-23 17:00:00,2024-10-23 18:00:00,199.96999999998863,198.124,197.924,Win,13499.909999999807
Sell,2024-10-23 18:00:00,2024-10-23 19:00:00,199.96999999998863,197.802,197.602,Win,13699.879999999795
Sell,2024-10-28 02:00:00,2024-10-28 03:00:00,-99.96999999999431,198.185,198.285,Loss,13599.909999999802
Sell,2024-10-28 04:00:00,2024-10-28 05:00:00,199.96999999998863,199.301,199.101,Win,13799.87999999979
Sell,2024-10-28 05:00:00,2024-10-28 06:00:00,-99.96999999999431,198.906,199.006,Loss,13699.909999999796
Sell,2024-10-28 06:00:00,2024-10-28 07:00:00,199.96999999998863,198.836,198.63600000000002,Win,13899.879999999785
Sell,2024-10-29 15:00:00,2024-10-29 16:00:00,199.96999999998863,199.542,199.342,Win,14099.849999999773
Buy,2024-10-31 10:00:00,2024-10-31 11:00:00,-99.96999999999431,197.852,197.752,Loss,13999.87999999978
Buy,2024-10-31 18:00:00,2024-10-31 19:00:00,199.96999999998863,195.856,196.05599999999998,Win,14199.849999999768
Buy,2024-10-31 19:00:00,2024-10-31 20:00:00,-99.96999999999431,196.095,195.995,Loss,14099.879999999774
Buy,2024-10-31 20:00:00,2024-10-31 21:00:00,-99.96999999999431,195.689,195.589,Loss,13999.90999999978
